Date,Open,High,Low,Close,Adj Close,Volume
1/22/2020,38.254269,38.339657,37.922199,38.130932,32.179756,18097812
1/23/2020,38.130932,38.73814,38.074005,38.624287,32.596104,27148510
1/24/2020,38.842506,38.870968,37.609108,37.779884,31.883492,34143698
1/27/2020,37.390892,38.358635,37.23909,38.102467,32.155731,31964026
1/28/2020,37.305504,37.466793,36.005692,36.185959,30.538342,70202408
1/29/2020,36.166985,36.413662,35.626186,35.654648,30.089949,34165726
1/30/2020,35.199242,35.265656,34.810246,35.170776,29.984798,32316589
1/31/2020,35.04744,35.531307,35.009487,35.332069,30.122303,33894005
2/3/2020,35.540798,36.091084,35.388992,35.588234,30.340694,20875735
2/4/2020,36.129032,36.280834,35.702087,35.759014,30.486301,31150865
2/5/2020,35.910816,36.593929,35.882355,36.21442,30.874556,29443490
2/6/2020,36.470589,36.527515,36.081593,36.299809,30.947348,21047748
2/7/2020,36.394688,36.432636,35.986717,36.100571,30.777485,21903596
2/10/2020,36.252373,36.26186,35.787476,35.872864,30.583355,19998385
2/11/2020,35.948769,36.176472,35.825428,36.138519,30.809847,16027335
2/12/2020,36.138519,36.233398,35.787476,35.806454,30.526745,22944315
2/13/2020,35.654648,35.654648,35,35.037952,29.871552,22099745
2/14/2020,35.075901,35.142315,34.554081,34.639469,29.531828,21006747
2/18/2020,34.677418,34.791271,34.411766,34.459202,29.378143,17988513
2/19/2020,34.535103,34.629982,34.354839,34.373814,29.305349,17750941
2/20/2020,33.880455,34.212524,33.595825,34.013283,28.997972,42953135
2/21/2020,33.927895,33.984821,33.709679,33.889942,28.89282,32425256
2/24/2020,33.244781,33.586338,32.827324,32.893738,28.043507,37969296
2/25/2020,32.903225,32.960152,31.982922,32.19165,27.444946,41878898
2/26/2020,32.485767,33.406071,32.277039,32.941177,28.083956,47920005
2/27/2020,32.675522,33.880455,32.35294,32.35294,27.582451,55444827
2/28/2020,31.774195,32.201138,30.863379,31.707781,27.032423,66057447
3/2/2020,32.172676,33.159393,31.736242,33.092979,28.213373,42034469
3/3/2020,33.377609,33.946869,32.125237,32.542694,27.744226,46174475
3/4/2020,33.301708,34.59203,33.159393,34.535103,29.442854,38712155
3/5/2020,33.823528,34.326378,33.358635,33.643265,28.682518,35096303
3/6/2020,32.922199,33.368122,32.371918,33.225807,28.326614,40931036
3/9/2020,31.745731,32.912712,31.461102,32.030361,27.30744,43183856
3/10/2020,32.798862,32.884251,31.318787,32.817837,27.978804,40548329
3/11/2020,32.030361,32.144215,30.037951,30.521822,26.021334,65350213
3/12/2020,28.918406,30.360531,28.462997,28.481974,24.282265,62731445
3/13/2020,29.667933,31.195446,28.681213,31.034157,26.458122,60553038
3/16/2020,28.406073,30.626186,28.13093,28.633776,24.411682,50995050
3/17/2020,30.018974,30.97723,29.02277,30.512335,26.013248,54220606
3/18/2020,29.193548,30.93928,28.757116,30.702087,26.17502,43884976
3/19/2020,30.56926,30.597723,28.472486,28.861481,24.605814,59820929
3/20/2020,28.728653,29.098673,27.428843,27.52372,23.465305,52488989
3/23/2020,27.286528,28.064516,26.451612,27.030361,23.044697,52853041
3/24/2020,27.998102,28.510435,27.419355,28.178368,24.023426,44466784
3/25/2020,27.988615,29.146111,27.514231,28.225805,24.063871,44601275
3/26/2020,28.358635,30.351044,28.349146,30.123341,25.68161,43269967
3/27/2020,29.222012,30.113852,29.089184,29.316889,24.994072,38290344
3/30/2020,29.459204,31.166983,29.459204,30.996204,26.42577,29943508
3/31/2020,30.740038,31.309298,30.588236,30.967743,26.401503,29466151
4/1/2020,30.28463,30.626186,29.914612,30.123341,25.68161,26709625
4/2/2020,30.265656,31.309298,30.123341,31.185959,26.587542,27186876
4/3/2020,30.958254,32.153702,30.958254,31.91651,27.210369,32837370
4/6/2020,32.182163,33.111954,32.049335,32.798862,27.962622,40503217
4/7/2020,33.206833,33.368122,31.86907,31.888046,27.186106,24226295
4/8/2020,32.248577,33.017078,31.726755,32.827324,27.986885,25523980
4/9/2020,33.235294,33.937382,33.064514,33.576851,28.625898,30648107
4/13/2020,34.117645,34.136623,32.941177,33.339657,28.423677,18270141
4/14/2020,34.089184,34.753323,33.529411,34.573055,29.47521,21845309
4/15/2020,34.212524,34.373814,33.757114,34.127136,29.095041,21312196
4/16/2020,34.269451,34.402279,33.757114,34.041744,29.02224,20657451
4/17/2020,34.629982,35.104362,34.25996,35.018974,29.855377,24404843
4/20/2020,34.516129,35.018974,34.231499,34.231499,29.184019,22530620
4/21/2020,33.946869,34.089184,33.557877,33.795067,28.811934,23975233
4/22/2020,35.066414,35.104362,34.269451,34.392788,29.321527,20182624
4/23/2020,34.421253,35.483871,34.421253,34.810246,29.677423,20185365
4/24/2020,34.95256,35.512333,34.895638,35.464897,30.23555,17353794
4/27/2020,35.664139,36.565464,35.645161,36.366222,31.003973,23394057
4/28/2020,37.049335,37.210625,35.464897,35.967743,30.664244,35666728
4/29/2020,36.489563,36.574951,35.777988,36.166985,30.834108,26518535
4/30/2020,36.053131,36.537003,35.445919,36.394688,31.028234,29450973
5/1/2020,35.910816,35.996204,35.474384,35.711575,30.445852,22679867
5/4/2020,35.673622,35.97723,35.493359,35.6926,30.429668,19893512
5/5/2020,36.821632,36.869068,36.309299,36.537003,31.149567,24123952
5/6/2020,36.973434,37.011387,36.537003,36.537003,31.149567,24047432
5/7/2020,36.442123,36.518028,35,35.066414,30.193758,33546080
5/8/2020,35.341557,35.464897,35.142315,35.313091,30.406158,19893618
5/11/2020,35.341557,36.252373,35.256168,36.148006,31.125051,25620421
5/12/2020,36.166985,36.280834,35.426945,35.445919,30.520527,19335314
